"location","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","population_2021","life_expectancy_2021"
"Singapore","SGP",2021-12-03,9489264,4744632,4744632,174,87,87,5896684,85.42
"Slovenia","SVN",2021-12-17,2796451,1241461,1178314,134.53,59.72,56.68,2078723,81.71
"Solomon Islands","SLB",2021-12-13,228912,176593,52319,32.52,25.08,7.43,703995,69.1
"Somalia","SOM",2021-12-09,1147627,892093,664422,7.02,5.45,4.06,16359500,59.83
"South Africa","ZAF",2021-12-15,27400778,18600540,15532710,45.64,30.98,25.87,60041996,67.43
"South Korea","KOR",2021-12-16,93515220,43300593,41939065,182.27,84.4,81.74,51305184,83.3
"South Sudan","SSD",2021-12-15,268640,227262,181577,2.36,2,1.6,11381377,60.26
"Spain","ESP",2021-12-16,82518671,38607797,37777929,176.53,82.59,80.82,46745211,83.58
"Sri Lanka","LKA",2021-12-17,31826900,15964289,13803820,148.05,74.26,64.21,21497306,78.14
"Sudan","SDN",2021-12-15,5251235,4016849,1234386,11.69,8.94,2.75,44909351,71.25
"Suriname","SUR",2021-12-16,485656,260304,225352,82.06,43.99,38.08,591798,72.51
"Sweden","SWE",2021-12-17,17049272,7707313,7326603,167.81,75.86,72.11,10160159,83.08
"Switzerland","CHE",2021-12-16,12974430,5929752,5780741,148.87,68.04,66.33,8715494,84.55
"Syria","SYR",2021-12-12,1548574,1002945,763025,8.47,5.49,4.18,18275704,73.34
"Taiwan","TWN",2021-12-17,33911110,18585322,15325788,142.16,77.91,64.25,23855008,80.63
"Tajikistan","TJK",2021-12-12,5950710,4374694,3206282,61.04,44.87,32.89,9749625,71.17
"Tanzania","TZA",2021-12-06,1699523,1592897,1078102,2.76,2.59,1.75,61498438,68.41
"Thailand","THA",2021-12-15,98046970,50095106,43643486,140.17,71.61,62.39,69950844,78.96
"Togo","TGO",2021-12-10,2159257,1349188,810069,25.47,15.91,9.55,8478242,65.61
"Tonga","TON",2021-12-06,119535,73296,46239,111.97,68.66,43.31,106759,72.21
"Trinidad and Tobago","TTO",2021-12-16,1359411,701503,657908,96.87,49.99,46.88,1403374,74.75
"Tunisia","TUN",2021-12-15,11144463,6349206,5416468,93.37,53.19,45.38,11935764,79.12
"Turkey","TUR",2021-12-17,123144781,56636507,51119629,144.8,66.6,60.11,85042736,79.96
"Turkmenistan","TKM",2021-08-29,7580976,4374694,3206282,123.91,71.51,52.41,6117933,70.6
"Uganda","UGA",2021-12-09,7813170,6525371,1287799,16.58,13.85,2.73,47123533,67.29
"Ukraine","UKR",2021-12-17,27274562,14355538,12939704,62.75,33.03,29.77,43466822,71.01
"United Arab Emirates","ARE",2021-12-14,22181292,9890441,9020082,222.01,98.99,90.28,9991083,73.9
